"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
8,5,0.544845,0.335289,0.209556
22,13,1.82863,1.14943,0.679206
0,0,0,0,0
8,0,0.876232,0.876232,0
6,1,0.705645,0.604839,0.100806
14,0,2.37288,2.37288,0
5,1,0.740741,0.617284,0.123457
2,3,0.381679,0.152672,0.229008
3,1,0.419727,0.314795,0.104932
47,46,3.22469,1.62968,1.59501
8,7,0.560957,0.299177,0.26178
18,21,1.93165,0.89153,1.04012
1,0,0.127389,0.127389,0
10,1,1.13872,1.0352,0.10352
10,1,1.06178,0.965251,0.0965251
4,2,0.974026,0.649351,0.324675
1,0,0.114943,0.114943,0
17,1,1.02798,0.970874,0.0571102
0,1,0.098912,0,0.098912
42,62,3.35484,1.35484,2
13,14,0.939457,0.452331,0.487126
11,13,1.17245,0.537372,0.635076
0,2,0.2442,0,0.2442
7,0,0.693756,0.693756,0
6,3,0.877193,0.584795,0.292398
18,1,3.15091,2.98507,0.165837
2,2,0.506329,0.253165,0.253165
8,4,0.708801,0.472534,0.236267
0,2,0.189573,0,0.189573
41,52,3.01556,1.32944,1.68612
6,5,0.373261,0.203597,0.169664
20,18,1.8018,0.948317,0.853485
1,1,0.225989,0.112994,0.112994
10,0,0.94518,0.94518,0
14,2,1.63934,1.43443,0.204918
41,2,6.01399,5.73427,0.27972
10,3,1.64557,1.26582,0.379747
15,2,0.953449,0.841279,0.11217
0,1,0.0874126,0,0.0874126
79,87,4.61752,2.1975,2.42003
18,9,0.843486,0.562324,0.281162
21,12,1.44168,0.917431,0.524246
1,2,0.353774,0.117925,0.235849
15,0,1.40977,1.40977,0
