"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
4,4,5.71,2.86,2.86
0,0,0,0,0
11,0,1.17,1.17,0
3,6,3.75,1.25,2.5
20,25,12.36,5.49,6.87
5,0,0.87,0.87,0
X,X,X,X,X
11,3,3.89,3.06,0.83
0,1,0.51,0,0.51
2,8,5.15,1.03,4.12
44,27,4.14,2.57,1.57
34,60,10.77,3.89,6.87
0,1,0.75,0,0.75
6,0,3.23,3.23,0
22,38,11.74,4.31,7.44
2,3,1.23,0.49,0.74
47,0,4.87,4.87,0
5,0,10.87,10.87,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
4,2,2.38,1.59,0.79
X,X,X,X,X
26,2,17.18,15.95,1.23
0,4,4.82,0,4.82
205,100,14.97,10.06,4.91
32,3,5.48,5.01,0.47
44,2,10.09,9.65,0.44
4,2,5.26,3.51,1.75
X,X,X,X,X
393,115,23.54,18.21,5.33
32,11,6.45,4.8,1.65
13,1,8.86,8.23,0.63
2,2,17.39,8.7,8.7
67,13,13.03,10.91,2.12
10,1,7.43,6.76,0.68
3,0,4.92,4.92,0
7,3,6.21,4.35,1.86
5,2,2.55,1.82,0.73
8,6,2.94,1.68,1.26
2,0,3.64,3.64,0
1,0,4.35,4.35,0
39,0,7.91,7.91,0
77,11,8.71,7.62,1.09
16,3,4.66,3.92,0.74
1,2,2.65,0.88,1.77
14,3,3.03,2.5,0.53
6,5,7.64,4.17,3.47
3,0,3.23,3.23,0
1,0,6.67,6.67,0
0,2,8.33,0,8.33
X,X,X,X,X
22,19,6.95,3.73,3.22
134,17,8.01,7.1,0.9
3,2,4,2.4,1.6
0,0,0,0,0
27,9,3.79,2.84,0.95
5,1,2.36,1.97,0.39
27,39,14.57,5.96,8.61
16,3,3.39,2.85,0.53
X,X,X,X,X
