"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
5,1,1.99,1.66,0.33
3,1,1.95,1.46,0.49
5,5,4.9,2.45,2.45
55,53,6.28,3.2,3.08
74,99,17.55,7.51,10.04
1,0,0.69,0.69,0
6,0,3.06,3.06,0
26,33,12.22,5.38,6.83
1,1,0.55,0.28,0.28
99,5,10.44,9.94,0.5
6,0,13.95,13.95,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,6,3.53,1.18,2.35
X,X,X,X,X
44,6,24.51,21.57,2.94
2,9,10.89,1.98,8.91
316,183,21.13,13.38,7.75
54,3,7.64,7.24,0.4
31,2,6.5,6.1,0.39
9,2,11.11,9.09,2.02
X,X,X,X,X
478,115,24.36,19.64,4.72
46,12,7.64,6.06,1.58
19,4,11.5,9.5,2
3,11,40,8.57,31.43
83,13,15.09,13.05,2.04
14,0,8.54,8.54,0
6,0,5,5,0
9,0,4.55,4.55,0
5,9,4.75,1.69,3.05
13,8,3.65,2.26,1.39
1,5,10.17,1.69,8.47
1,0,5.88,5.88,0
39,13,9.83,7.37,2.46
153,12,14.16,13.13,1.03
33,7,10,8.25,1.75
6,2,5.8,4.35,1.45
14,2,2.61,2.28,0.33
9,4,9.09,6.29,2.8
11,0,9.65,9.65,0
3,2,22.73,13.64,9.09
0,2,10.53,0,10.53
X,X,X,X,X
86,34,15.13,10.84,4.29
213,34,11.4,9.83,1.57
10,3,8.78,6.76,2.03
2,0,4.17,4.17,0
37,7,4.43,3.72,0.7
5,4,3.46,1.92,1.54
42,45,17.23,8.32,8.91
27,5,4.61,3.89,0.72
X,X,X,X,X
16,4,5.51,4.41,1.1
3,0,1.3,1.3,0
10,1,5.82,5.29,0.53
96,88,10.18,5.31,4.87
106,119,23.76,11.19,12.57
4,2,2.94,1.96,0.98
8,3,4.62,3.36,1.26
37,62,17.81,6.65,11.15
1,1,0.48,0.24,0.24
102,11,10.6,9.57,1.03
3,1,9.3,6.98,2.33
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
18,3,7.09,6.08,1.01
X,X,X,X,X
32,3,16.67,15.24,1.43
5,10,14.02,4.67,9.35
387,222,23.95,15.22,8.73
66,11,9.9,8.48,1.41
71,6,14.23,13.12,1.11
14,2,13.68,11.97,1.71
X,X,X,X,X
416,89,23.08,19.01,4.07
89,25,11.92,9.31,2.62
11,3,8.24,6.47,1.76
8,9,42.5,20,22.5
128,13,19.21,17.44,1.77
28,3,14.42,13.02,1.4
6,1,4.86,4.17,0.69
17,5,10.58,8.17,2.4
11,2,4.48,3.79,0.69
43,26,12.73,7.93,4.8
6,2,11.76,8.82,2.94
1,0,3.85,3.85,0
53,12,15.15,12.35,2.8
212,28,16.52,14.59,1.93
57,8,13.66,11.97,1.68
18,1,10.61,10.06,0.56
34,4,5.79,5.18,0.61
12,9,11.54,6.59,4.95
8,0,6.45,6.45,0
6,1,21.88,18.75,3.13
1,0,5.56,5.56,0
X,X,X,X,X
129,47,18.72,13.72,5
321,39,15.71,14.01,1.7
29,9,18.01,13.74,4.27
7,0,10.14,10.14,0
75,12,7.82,6.74,1.08
12,7,6.96,4.4,2.56
50,40,15.76,8.76,7.01
36,27,8.51,4.86,3.65
X,X,X,X,X
38,5,10.29,9.09,1.2
14,1,6.1,5.69,0.41
19,3,8.59,7.42,1.17
165,192,16.85,7.79,9.06
127,117,19.44,10.12,9.32
7,3,6.37,4.46,1.91
29,5,13.49,11.51,1.98
34,63,17.67,6.19,11.48
4,3,1.77,1.01,0.76
187,16,17.62,16.23,1.39
5,0,10,10,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
29,1,8.5,8.22,0.28
1,1,18.18,9.09,9.09
42,3,20.93,19.53,1.4
4,11,15.79,4.21,11.58
317,275,23.33,12.49,10.84
92,7,12.36,11.49,0.87
125,15,20.77,18.55,2.23
22,3,17.01,14.97,2.04
X,X,X,X,X
589,120,26,21.6,4.4
143,28,16.43,13.74,2.69
29,7,12.08,9.73,2.35
5,2,18.42,13.16,5.26
145,26,20.88,17.7,3.17
42,4,16.97,15.5,1.48
16,3,14.29,12.03,2.26
18,3,8.82,7.56,1.26
32,15,14.03,9.55,4.48
110,25,17.51,14.27,3.24
13,2,15.15,13.13,2.02
2,0,10.53,10.53,0
82,8,16.64,15.16,1.48
327,26,23.01,21.32,1.69
95,6,18.2,17.12,1.08
20,5,13.89,11.11,2.78
36,1,5.15,5.01,0.14
5,4,6,3.33,2.67
19,1,13.33,12.67,0.67
X,X,X,X,X
3,0,12.5,12.5,0
X,X,X,X,X
96,73,16.55,9.4,7.15
508,54,21.1,19.08,2.03
58,9,22.56,19.53,3.03
12,0,17.91,17.91,0
103,30,11.14,8.63,2.51
6,7,5.02,2.32,2.7
41,62,16.89,6.72,10.16
103,11,12.38,11.18,1.19
X,X,X,X,X
73,10,15.93,14.01,1.92
12,4,6.27,4.71,1.57
35,15,16.18,11.33,4.85
196,145,16.91,9.72,7.19
137,138,21.45,10.69,10.76
22,0,7.89,7.89,0
50,6,22.13,19.76,2.37
52,63,19.69,8.9,10.79
24,8,6.61,4.96,1.65
382,27,22.47,20.99,1.48
4,1,7.69,6.15,1.54
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
44,2,14.33,13.71,0.62
3,0,27.27,27.27,0
28,4,14.29,12.5,1.79
6,16,19.13,5.22,13.91
304,265,22.79,12.17,10.61
157,20,17.4,15.44,1.97
132,23,21.56,18.36,3.2
59,3,27.93,26.58,1.35
X,X,X,X,X
599,147,26.09,20.95,5.14
187,40,17.85,14.7,3.14
16,6,11.22,8.16,3.06
17,5,44,34,10
166,24,19.73,17.24,2.49
58,4,20.2,18.89,1.3
23,3,14.13,12.5,1.63
29,7,14.81,11.93,2.88
33,15,12.9,8.87,4.03
88,32,15.21,11.15,4.06
13,6,15.57,10.66,4.92
5,0,10.64,10.64,0
140,34,24.4,19.64,4.77
334,38,24.11,21.65,2.46
121,15,20.33,18.09,2.24
25,7,13.06,10.2,2.86
39,9,7.54,6.12,1.41
21,17,21.11,11.67,9.44
22,2,14.12,12.94,1.18
3,2,18.52,11.11,7.41
4,0,12.12,12.12,0
X,X,X,X,X
158,86,22.36,14.48,7.88
744,94,27.62,24.52,3.1
53,8,18.94,16.46,2.48
4,3,12.73,7.27,5.45
199,34,17.17,14.66,2.51
11,11,9.65,4.82,4.82
73,77,22.35,10.88,11.48
137,30,16.52,13.55,2.97
X,X,X,X,X
73,12,15.29,13.13,2.16
16,5,7.75,5.9,1.85
22,12,13.08,8.46,4.62
233,214,20.13,10.49,9.64
177,155,24.61,13.12,11.49
17,3,6.6,5.61,0.99
54,8,20.74,18.06,2.68
63,56,19.64,10.4,9.24
16,7,4.54,3.16,1.38
596,56,29.34,26.82,2.52
13,0,20.31,20.31,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
70,1,17.4,17.16,0.25
14,0,56,56,0
24,1,17.61,16.9,0.7
10,15,22.52,9.01,13.51
199,201,19.46,9.68,9.78
159,27,18.34,15.68,2.66
188,42,26.65,21.78,4.87
139,11,39.58,36.68,2.9
X,X,X,X,X
498,204,23.69,16.81,6.88
257,50,22.89,19.16,3.73
40,10,17.73,14.18,3.55
13,1,30.43,28.26,2.17
162,35,21.3,17.51,3.78
60,2,19.14,18.52,0.62
23,2,12.2,11.22,0.98
53,17,22.65,17.15,5.5
52,25,19.2,12.97,6.23
91,34,14.93,10.87,4.06
21,8,24.58,17.8,6.78
9,0,19.57,19.57,0
275,39,32.74,28.68,4.07
386,59,24.63,21.36,3.27
156,23,22.89,19.95,2.94
25,3,10.73,9.58,1.15
53,7,8.24,7.28,0.96
46,24,29.66,19.49,10.17
29,2,18.24,17.06,1.18
5,1,17.14,14.29,2.86
X,X,X,X,X
X,X,X,X,X
176,92,24.95,16.39,8.57
845,154,29.04,24.56,4.48
71,14,23.74,19.83,3.91
14,3,16.83,13.86,2.97
361,88,25.85,20.78,5.07
12,21,13.36,4.86,8.5
56,88,22.97,8.93,14.04
231,58,24.57,19.64,4.93
X,X,X,X,X
123,24,22.86,19.13,3.73
45,15,18.46,13.85,4.62
48,25,18.72,12.31,6.41
243,237,21.51,10.89,10.62
162,121,23.39,13.39,10
38,5,11.88,10.5,1.38
99,37,37.99,27.65,10.34
63,60,20.78,10.64,10.14
56,26,13.92,9.51,4.41
710,52,29.42,27.41,2.01
16,3,28.36,23.88,4.48
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
34,4,9.74,8.72,1.03
20,0,48.78,48.78,0
11,7,14.29,8.73,5.56
2,14,18.39,2.3,16.09
121,165,13.61,5.76,7.85
160,31,17.87,14.97,2.9
142,42,22.58,17.42,5.15
92,17,28.99,24.47,4.52
X,X,X,X,X
366,137,20.55,14.95,5.6
185,53,20.36,15.83,4.53
44,5,16.01,14.38,1.63
8,2,30.3,24.24,6.06
90,19,14.46,11.94,2.52
30,4,13.13,11.58,1.54
17,2,9.74,8.72,1.03
24,7,11.07,8.57,2.5
51,35,19.59,11.62,7.97
66,28,13.3,9.34,3.96
19,9,20,13.57,6.43
1,3,17.39,4.35,13.04
232,47,26.7,22.2,4.5
241,67,20.63,16.14,4.49
112,25,18.92,15.47,3.45
33,1,13.55,13.15,0.4
33,8,6.29,5.06,1.23
26,28,21.69,10.44,11.24
18,2,13.7,12.33,1.37
5,2,17.95,12.82,5.13
6,5,34.38,18.75,15.63
X,X,X,X,X
148,101,23.78,14.14,9.65
748,177,27.94,22.59,5.35
39,12,16.14,12.34,3.8
13,3,18.6,15.12,3.49
284,102,22.31,16.42,5.9
10,10,9.05,4.52,4.52
67,70,22.03,10.77,11.25
209,72,22.48,16.72,5.76
X,X,X,X,X
70,21,17.95,13.81,4.14
38,12,16.5,12.54,3.96
27,12,12.58,8.71,3.87
210,173,18.06,9.9,8.16
156,68,20.84,14.51,6.33
35,7,12.73,10.61,2.12
61,22,24.92,18.32,6.61
63,48,19.07,10.82,8.25
58,32,13.06,8.42,4.64
444,34,21.77,20.22,1.55
21,1,29.73,28.38,1.35
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
54,1,14.14,13.88,0.26
7,0,23.33,23.33,0
2,2,3.57,1.79,1.79
1,6,13.73,1.96,11.76
83,124,13.04,5.23,7.81
121,23,14.63,12.3,2.34
85,41,16.09,10.86,5.24
75,18,29.71,23.96,5.75
X,X,X,X,X
296,138,19.8,13.5,6.3
120,33,15.52,12.17,3.35
48,5,15.96,14.46,1.51
10,11,44.68,21.28,23.4
44,24,11.56,7.48,4.08
22,8,11.41,8.37,3.04
24,2,14.36,13.26,1.1
20,8,10.65,7.6,3.04
44,23,17.05,11.2,5.85
52,32,14.53,9,5.54
22,7,20.28,15.38,4.9
1,2,13.64,4.55,9.09
200,66,28.33,21.3,7.03
127,56,14.07,9.76,4.3
82,17,16.78,13.9,2.88
14,3,8.99,7.41,1.59
20,8,4.49,3.21,1.28
37,30,28.39,15.68,12.71
18,2,14.6,13.14,1.46
3,0,11.11,11.11,0
5,2,13.21,9.43,3.77
X,X,X,X,X
172,78,25.83,17.77,8.06
602,169,24.94,19.48,5.47
44,12,18.01,14.15,3.86
10,1,13.25,12.05,1.2
209,75,20.24,14.9,5.35
4,8,5.77,1.92,3.85
48,77,22.56,8.66,13.9
190,65,20.25,15.09,5.16
X,X,X,X,X
41,15,13.21,9.67,3.54
34,5,16.53,14.41,2.12
30,16,15.97,10.42,5.56
136,141,15.48,7.6,7.88
116,72,19.3,11.91,7.39
51,5,14.25,12.98,1.27
58,21,24.01,17.63,6.38
77,57,23.51,13.51,10
49,49,16.53,8.26,8.26
289,40,20.46,17.97,2.49
11,3,20.59,16.18,4.41
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
28,2,7.35,6.86,0.49
4,1,18.52,14.81,3.7
2,2,4.26,2.13,2.13
2,4,7.59,2.53,5.06
61,60,8.79,4.43,4.36
57,25,10.35,7.2,3.16
61,41,15.99,9.56,6.43
62,23,27.24,19.87,7.37
X,X,X,X,X
173,113,16.21,9.81,6.41
84,49,15.45,9.76,5.69
36,7,15.14,12.68,2.46
1,2,17.65,5.88,11.76
42,13,10.72,8.19,2.53
20,6,10.44,8.03,2.41
11,1,7.59,6.96,0.63
21,12,14.86,9.46,5.41
26,24,13.74,7.14,6.59
25,25,7.66,3.83,3.83
36,10,22.44,17.56,4.88
3,4,10.45,4.48,5.97
193,68,26.96,19.94,7.02
130,34,13.61,10.79,2.82
60,14,13.58,11.01,2.57
24,4,13.53,11.59,1.93
17,14,5.01,2.75,2.26
23,28,23.29,10.5,12.79
27,4,21.38,18.62,2.76
1,2,12.5,4.17,8.33
X,X,X,X,X
X,X,X,X,X
146,94,26.55,16.15,10.4
398,165,20.08,14.19,5.88
28,10,14.9,10.98,3.92
5,3,12.9,8.06,4.84
161,65,18.99,13.53,5.46
9,9,7.89,3.95,3.95
55,74,21.79,9.29,12.5
137,62,17.53,12.07,5.46
X,X,X,X,X
23,17,10.08,5.79,4.28
27,3,12.93,11.64,1.29
15,23,12.03,4.75,7.28
178,159,18.4,9.72,8.68
130,41,20.12,15.29,4.82
45,11,13.4,10.77,2.63
38,8,14.38,11.88,2.5
58,42,18.76,10.88,7.88
37,48,17.49,7.61,9.88
157,36,14.31,11.64,2.67
11,1,21.82,20,1.82
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
19,1,7.41,7.04,0.37
2,4,15.38,5.13,10.26
2,2,4.88,2.44,2.44
4,4,14.55,7.27,7.27
40,55,7.13,3,4.13
46,30,10.61,6.42,4.19
37,41,14.74,6.99,7.75
26,20,20.81,11.76,9.05
X,X,X,X,X
160,141,15.37,8.17,7.2
43,45,11.2,5.47,5.73
21,9,12.71,8.9,3.81
X,X,X,X,X
18,18,8.31,4.16,4.16
10,6,9.09,5.68,3.41
6,2,6.11,4.58,1.53
12,11,12.71,6.63,6.08
16,9,8.5,5.44,3.06
31,11,8.14,6.01,2.13
40,21,26.64,17.47,9.17
0,5,20.83,0,20.83
71,56,17.33,9.69,7.64
65,36,10,6.44,3.56
30,16,9.52,6.21,3.31
9,10,15.2,7.2,8
17,13,5.76,3.26,2.5
19,12,19.02,11.66,7.36
14,2,15.24,13.33,1.9
2,2,12.9,6.45,6.45
1,2,10.34,3.45,6.9
X,X,X,X,X
81,63,34.7,19.52,15.18
247,175,17.15,10.04,7.11
21,11,14.22,9.33,4.89
4,1,9.26,7.41,1.85
110,54,15.3,10.26,5.04
9,9,9.47,4.74,4.74
63,51,22.98,12.7,10.28
69,32,13.22,9.03,4.19
X,X,X,X,X
14,17,9.31,4.2,5.11
18,8,12.94,8.96,3.98
25,24,16.01,8.17,7.84
159,154,17.55,8.92,8.64
99,34,18.1,13.47,4.63
24,6,8.75,7,1.75
26,16,17.14,10.61,6.53
31,34,13.49,6.43,7.05
26,52,13.13,4.38,8.75
141,26,12.25,10.34,1.91
5,4,20.93,11.63,9.3
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
10,1,4.04,3.68,0.37
4,3,20,11.43,8.57
3,1,6.06,4.55,1.52
2,5,11.67,3.33,8.33
29,23,4.98,2.78,2.2
39,22,9.61,6.14,3.46
17,39,12.17,3.7,8.48
16,14,17.54,9.36,8.19
X,X,X,X,X
131,143,14.47,6.92,7.55
27,36,8.84,3.79,5.05
16,8,8.28,5.52,2.76
X,X,X,X,X
24,24,12.4,6.2,6.2
14,2,10.53,9.21,1.32
3,1,3.96,2.97,0.99
9,24,16.92,4.62,12.31
15,10,9.51,5.7,3.8
13,17,6.54,2.83,3.7
31,17,25,16.15,8.85
0,2,12.5,0,12.5
64,77,22.42,10.17,12.24
60,49,12.06,6.64,5.42
45,12,12.69,10.02,2.67
4,5,9.18,4.08,5.1
16,12,5.49,3.14,2.35
8,11,13.97,5.88,8.09
12,2,16.28,13.95,2.33
0,1,7.14,0,7.14
1,2,12.5,4.17,8.33
X,X,X,X,X
49,42,17.3,9.32,7.98
166,183,16.02,7.62,8.4
24,16,17.02,10.21,6.81
3,1,7.27,5.45,1.82
163,61,20.66,15.04,5.63
3,10,6.53,1.51,5.03
33,30,15.4,8.07,7.33
62,52,15.49,8.42,7.07
X,X,X,X,X
9,13,7.41,3.03,4.38
9,6,9.8,5.88,3.92
12,30,15.56,4.44,11.11
110,149,15.63,6.64,8.99
42,29,11.22,6.64,4.58
21,12,9.79,6.23,3.56
20,18,15.14,7.97,7.17
19,25,9.76,4.21,5.54
30,56,15.61,5.44,10.16
87,30,11.74,8.73,3.01
1,3,13.33,3.33,10
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
6,0,3,3,0
2,4,30,10,20
2,5,15.22,4.35,10.87
0,3,4.55,0,4.55
23,16,3.96,2.33,1.62
19,18,7.91,4.06,3.85
27,35,11.99,5.22,6.77
12,27,23.78,7.32,16.46
X,X,X,X,X
91,137,13.36,5.33,8.03
21,18,6.37,3.43,2.94
10,2,6.59,5.49,1.1
X,X,X,X,X
14,16,8.52,3.98,4.55
10,4,7.95,5.68,2.27
4,1,6.17,4.94,1.23
4,20,12.37,2.06,10.31
10,13,8.3,3.61,4.69
13,14,6.41,3.09,3.33
21,15,27.07,15.79,11.28
0,6,10.71,0,10.71
43,82,20.59,7.08,13.51
41,56,12.37,5.23,7.14
15,20,8.6,3.69,4.91
8,3,10.68,7.77,2.91
12,15,5.09,2.26,2.83
7,16,15.33,4.67,10.67
7,4,16.42,10.45,5.97
0,0,0,0,0
0,3,12,0,12
X,X,X,X,X
19,42,14.39,4.48,9.91
139,182,16.08,6.96,9.12
21,27,17.58,7.69,9.89
3,2,10.64,6.38,4.26
104,54,17.48,11.5,5.97
3,6,5.08,1.69,3.39
23,18,11.92,6.69,5.23
36,70,15.77,5.36,10.42
X,X,X,X,X
5,16,6.93,1.65,5.28
9,1,8.13,7.32,0.81
19,30,15.91,6.17,9.74
112,97,11.98,6.42,5.56
35,23,9.34,5.64,3.7
17,5,8.84,6.83,2.01
20,29,19.22,7.84,11.37
23,16,10.74,6.34,4.41
51,74,21.93,8.95,12.98
39,34,9.08,4.85,4.23
6,5,40.74,22.22,18.52
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
2,0,1.1,1.1,0
0,3,23.08,0,23.08
1,2,4.48,1.49,2.99
2,3,8.33,3.33,5
20,15,3.29,1.88,1.41
13,22,8.25,3.07,5.19
9,37,10.6,2.07,8.53
6,21,17.76,3.95,13.82
X,X,X,X,X
62,128,11.73,3.83,7.9
11,30,7.24,1.94,5.3
10,9,11.05,5.81,5.23
X,X,X,X,X
5,22,9.09,1.68,7.41
1,3,3.39,0.85,2.54
1,2,4.05,1.35,2.7
2,14,10.39,1.3,9.09
5,12,7.23,2.13,5.11
19,12,8.33,5.11,3.23
17,9,23.64,15.45,8.18
2,10,13.95,2.33,11.63
34,60,18.32,6.63,11.7
21,47,10.3,3.18,7.12
7,13,6.54,2.29,4.25
4,5,9.47,4.21,5.26
5,15,4.72,1.18,3.54
4,9,10.83,3.33,7.5
8,5,15.48,9.52,5.95
X,X,X,X,X
0,3,20,0,20
X,X,X,X,X
5,16,5.92,1.41,4.51
68,149,11.58,3.63,7.95
16,21,14.02,6.06,7.95
1,1,5.26,2.63,2.63
73,64,15.38,8.19,7.18
4,4,4.52,2.26,2.26
23,11,13.55,9.16,4.38
23,52,12.65,3.88,8.77
X,X,X,X,X
6,20,8.7,2.01,6.69
5,0,4.85,4.85,0
2,15,7.08,0.83,6.25
78,86,10.45,4.97,5.48
17,8,5.58,3.79,1.79
15,8,10.95,7.14,3.81
14,27,17.23,5.88,11.34
17,11,6.93,4.21,2.72
13,57,13.31,2.47,10.84
30,42,10.18,4.24,5.94
4,0,12.9,12.9,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
9,1,5.65,5.08,0.56
0,2,11.76,0,11.76
0,3,5.88,0,5.88
3,2,12.2,7.32,4.88
9,14,2.93,1.15,1.78
19,10,8.08,5.29,2.79
6,22,7.87,1.69,6.18
3,13,16.67,3.13,13.54
X,X,X,X,X
42,115,10.89,2.91,7.98
7,36,8.1,1.32,6.78
12,7,7.85,4.96,2.89
X,X,X,X,X
2,4,2.67,0.89,1.78
0,3,3.16,0,3.16
1,1,3.13,1.56,1.56
3,5,8.25,3.09,5.15
3,6,3.96,1.32,2.64
7,10,4.71,1.94,2.77
13,7,20,13,7
1,12,15.29,1.18,14.12
16,48,15.69,3.92,11.76
17,53,11.74,2.85,8.89
3,4,2.62,1.12,1.5
2,7,10.71,2.38,8.33
4,4,1.96,0.98,0.98
5,6,9.91,4.5,5.41
2,5,10.77,3.08,7.69
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
9,15,9.06,3.4,5.66
42,121,10.12,2.61,7.51
7,11,12.59,4.9,7.69
1,0,2.86,2.86,0
31,34,8.88,4.23,4.64
3,7,6.1,1.83,4.27
11,9,7.35,4.04,3.31
11,25,8.22,2.51,5.71
X,X,X,X,X
5,13,6.87,1.91,4.96
3,2,4.39,2.63,1.75
5,14,8.12,2.14,5.98
57,65,8.81,4.12,4.69
11,4,3.67,2.69,0.98
6,5,5.19,2.83,2.36
5,14,8.6,2.26,6.33
13,5,5.1,3.68,1.42
3,20,6.57,0.86,5.71
5,15,3.51,0.88,2.64
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,0,1.96,1.96,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
11,4,2.31,1.69,0.62
4,4,2.55,1.27,1.27
7,18,6.93,1.94,4.99
3,5,10,3.75,6.25
X,X,X,X,X
35,115,10.54,2.46,8.08
4,30,7.42,0.87,6.55
6,9,7.21,2.88,4.33
X,X,X,X,X
2,7,3.52,0.78,2.73
0,3,2.88,0,2.88
0,0,0,0,0
0,1,1,0,1
1,1,0.95,0.47,0.47
6,9,3.93,1.57,2.36
11,7,24,14.67,9.33
0,7,7.29,0,7.29
5,49,13.85,1.28,12.56
9,46,10.46,1.71,8.75
0,1,0.46,0,0.46
5,4,11.84,6.58,5.26
4,11,3.61,0.96,2.65
3,1,4.82,3.61,1.2
2,3,8.93,3.57,5.36
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,9,3.88,0.39,3.49
24,81,7.15,1.63,5.51
4,4,7.62,3.81,3.81
0,0,0,0,0
13,34,7.31,2.02,5.29
1,2,2.08,0.69,1.39
6,5,6.15,3.35,2.79
7,30,9.02,1.71,7.32
X,X,X,X,X
3,10,5.46,1.26,4.2
1,1,2.15,1.08,1.08
2,15,8.46,1,7.46
58,58,8.6,4.3,4.3
7,4,2.74,1.74,1
4,4,5.33,2.67,2.67
5,9,6.51,2.33,4.19
8,3,3.08,2.24,0.84
5,31,9.09,1.26,7.83
5,7,2.87,1.2,1.67
2,1,13.64,9.09,4.55
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,1,0.81,0,0.81
X,X,X,X,X
0,1,2.08,0,2.08
0,0,0,0,0
9,3,1.79,1.35,0.45
6,9,4.87,1.95,2.92
1,13,4.95,0.35,4.59
4,3,9.46,5.41,4.05
X,X,X,X,X
27,98,9.95,2.15,7.8
9,16,6.6,2.37,4.22
4,4,4.55,2.27,2.27
X,X,X,X,X
2,4,3.21,1.07,2.14
1,0,1.56,1.56,0
0,0,0,0,0
1,0,1.69,1.69,0
1,5,3.16,0.53,2.63
5,12,5.78,1.7,4.08
3,6,14.06,4.69,9.38
0,2,3.33,0,3.33
4,44,15.05,1.25,13.79
9,20,7.2,2.23,4.96
7,3,4.17,2.92,1.25
7,4,12.5,7.95,4.55
0,3,0.8,0,0.8
1,1,2.6,1.3,1.3
1,0,2.5,2.5,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,5,2.63,0,2.63
17,59,5.62,1.26,4.36
4,7,10.09,3.67,6.42
0,0,0,0,0
8,28,6.34,1.41,4.93
1,1,1.64,0.82,0.82
2,4,4.05,1.35,2.7
2,12,4.12,0.59,3.53
X,X,X,X,X
1,9,4.31,0.43,3.88
0,1,0.93,0,0.93
1,12,6.6,0.51,6.09
65,52,8.78,4.88,3.9
4,5,2.31,1.03,1.28
3,6,6.29,2.1,4.2
2,3,2.96,1.18,1.78
4,4,2.56,1.28,1.28
2,13,4.42,0.59,3.83
0,17,4.11,0,4.11
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,1,1.43,0,1.43
0,0,0,0,0
6,5,1.85,1.01,0.84
2,5,2.68,0.77,1.92
1,6,2.92,0.42,2.5
0,6,12,0,12
X,X,X,X,X
31,114,10.61,2.27,8.35
5,14,4.62,1.22,3.41
2,11,6.31,0.97,5.34
X,X,X,X,X
1,2,1.66,0.55,1.1
0,0,0,0,0
0,2,4.76,0,4.76
1,0,2.08,2.08,0
1,2,1.4,0.47,0.93
4,14,4.79,1.06,3.72
1,2,7.14,2.38,4.76
1,2,13.64,4.55,9.09
2,23,8.5,0.68,7.82
8,11,4.91,2.07,2.84
0,3,1.55,0,1.55
2,4,9.52,3.17,6.35
0,2,0.51,0,0.51
2,1,3.19,2.13,1.06
1,0,3.85,3.85,0
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,5,3.01,0,3.01
6,58,5.56,0.52,5.04
3,1,5.19,3.9,1.3
0,0,0,0,0
1,19,4.2,0.21,3.99
0,0,0,0,0
1,0,0.81,0.81,0
1,5,2.04,0.34,1.7
X,X,X,X,X
3,6,3.7,1.23,2.47
1,1,2.15,1.08,1.08
0,8,5.88,0,5.88
31,36,5.88,2.72,3.16
4,2,1.74,1.16,0.58
1,2,3.41,1.14,2.27
1,5,3.82,0.64,3.18
0,2,0.75,0,0.75
12,9,6.75,3.86,2.89
1,8,2.47,0.27,2.2
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,1,2.33,0,2.33
2,3,1.02,0.41,0.61
0,4,1.73,0,1.73
0,2,0.83,0,0.83
0,2,8,0,8
X,X,X,X,X
18,74,8.06,1.58,6.48
5,10,3.96,1.32,2.64
2,3,2.17,0.87,1.3
X,X,X,X,X
0,1,0.82,0,0.82
0,0,0,0,0
0,3,12.5,0,12.5
0,0,0,0,0
1,1,1.05,0.52,0.52
0,3,1.03,0,1.03
X,X,X,X,X
0,0,0,0,0
2,7,4.89,1.09,3.8
1,6,2.67,0.38,2.29
0,1,0.54,0,0.54
1,4,10.87,2.17,8.7
1,4,1.32,0.26,1.05
0,0,0,0,0
2,0,8.7,8.7,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
6,26,2.9,0.54,2.36
1,1,3.45,1.72,1.72
X,X,X,X,X
0,4,1.15,0,1.15
0,0,0,0,0
2,1,2.75,1.83,0.92
0,2,0.77,0,0.77
X,X,X,X,X
1,0,0.47,0.47,0
0,1,1.15,0,1.15
1,5,5,0.83,4.17
25,35,5.62,2.34,3.28
0,1,0.29,0,0.29
0,0,0,0,0
0,5,3.09,0,3.09
3,0,1.12,1.12,0
4,8,4.23,1.41,2.82
1,6,2.19,0.31,1.88
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
