COVID-19_Season,Doses,Cumulative_Doses,Age_Group
2023-2024,13997,7874689,50-64
2023-2024,332225,14123191,18-64
2023-2024,94556,7769375,75+
2024-2025,1067530,4081224,60-74
2023-2024,1699494,8374786,65+
2024-2025,274018,274018,18-64
2023-2024,997503,1030768,65+
2023-2024,1756775,1832224,18+
2023-2024,90337,35107540,18+
2023-2024,77462,15505195,18-64
2023-2024,849337,28488124,18+
2023-2024,178700,6913939,18-49
2023-2024,141541,31996334,18+
2023-2024,237533,31529627,18+
2023-2024,45212,15972136,18-64
2023-2024,60069,18883072,65+
2023-2024,44494,16421114,18-64
2024-2025,461914,4170211,50-64
2023-2024,584104,972377,18-49
2023-2024,26544,7487990,75+
2023-2024,115970,18077363,65+
2024-2025,674274,948292,18-64
